,soldPrice,bednumber,propertyType,duration_free_not_lease,isNew,latitude,longitude
203,255000,3,Flat,0,0,51.39657604,-2.359536961
204,373000,4,Semi-Detached,0,0,51.38099946,-2.383166498
205,293000,4,Terraced,1,0,51.37856608,-2.3930026680000003
206,360000,3,Semi-Detached,1,0,51.36101977,-2.357620975
207,310000,2,Terraced,1,0,51.39698309,-2.352827574
208,400000,2,Semi-Detached,1,0,51.39499327,-2.322571033
209,170000,1,Flat,0,0,51.39106544,-2.35617381
210,200000,2,Semi-Detached,1,0,51.3764993,-2.40580071
211,357000,3,Semi-Detached,1,0,51.40127875,-2.347599334
212,460000,3,Detached,1,0,51.40033991,-2.339671652
213,344000,3,Terraced,0,0,51.37384886,-2.372705348
214,325000,3,Terraced,1,0,51.3581288,-2.379097874
215,1490000,4,Detached,1,0,51.402189,-2.373669
216,2150000,5,Detached,1,0,51.396341,-2.371849812
217,1250000,4,Detached,1,0,51.39229387,-2.374565614
218,247500,2,Terraced,1,0,51.35912422,-2.382682232
219,320000,3,Terraced,1,0,51.38767503,-2.400855419
220,242000,2,Terraced,1,0,51.39787592,-2.391601449
221,255000,1,Flat,0,0,51.38588729,-2.36169491
222,223500,1,Flat,0,0,51.37594049,-2.379374381
223,376000,2,Terraced,1,0,51.39773049,-2.346436868
224,530000,2,Terraced,1,0,51.39624199,-2.345045751
225,385000,4,Terraced,1,0,51.35934471,-2.349550811
226,310000,2,Flat,1,0,51.39554516,-2.38691
227,278000,3,Terraced,1,0,51.36651575,-2.365693455
228,495000,3,Semi-Detached,0,0,51.39049032,-2.3872268119999998
229,212000,2,Semi-Detached,1,0,51.37491729,-2.397784328
230,380000,3,Semi-Detached,1,0,51.37127078,-2.37797
231,215000,2,Terraced,0,0,51.35544752,-2.379635801
232,275000,2,Flat,0,0,51.37465823,-2.33076075
233,725000,3,Semi-Detached,1,0,51.41264937,-2.320567317
234,313500,3,Terraced,1,0,51.37826083,-2.384738463
235,240500,1,Flat,0,0,51.38657675,-2.35971721
